,ExpermientName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,InstructionScreenNum,HabituationNumShockType,VAS_score,VAS_type,VAS_RT,ExperimentName,ShockType,ScenarioIndex,HabituationNum,Section
0,,123,1,1779538379.9838479,63.46,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.51,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.57,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.62,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.67,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.72,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.77,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.82,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.87,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.93,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,63.98,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.03,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.08,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.13,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.18,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.23,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.29,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.34,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.39,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.44,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.49,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.54,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.59,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.65,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.7,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.75,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.8,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.85,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.9,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,64.95,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.01,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.06,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.11,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.16,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.21,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.26,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.32,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.37,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.42,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.47,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.52,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.57,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.62,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.68,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.73,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.78,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.83,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.88,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.93,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,65.98,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.04,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.09,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.14,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.19,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.25,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.3,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.35,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.4,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.46,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.51,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.56,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.61,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.67,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.72,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.77,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.82,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.87,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.93,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,66.98,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.03,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.08,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.13,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.19,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.24,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.29,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.34,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.39,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.44,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.5,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.55,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.6,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.65,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.7,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.76,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.81,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.86,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.91,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,67.97,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.02,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.07,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.12,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.18,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.23,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.28,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.33,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.38,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.44,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.49,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.54,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.59,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.65,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.7,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.75,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.8,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.86,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.91,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,68.96,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.01,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.07,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.12,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.17,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.22,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.27,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.33,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.38,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.43,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.48,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.54,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.59,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.64,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.69,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.75,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.8,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.85,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.91,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,69.96,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.01,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.06,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.12,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.17,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.22,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.27,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.33,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.38,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.43,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.48,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.54,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.59,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.64,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.7,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.78,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.83,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.89,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.94,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,70.99,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.04,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.1,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.15,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.2,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.25,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.3,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.36,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.41,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.46,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.51,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.56,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.62,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.67,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.72,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.77,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.82,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.87,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.93,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,71.98,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.03,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.08,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.13,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.19,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.24,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.29,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.34,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.4,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.45,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.5,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.55,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.61,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.66,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.71,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.76,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.81,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.86,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,72.92,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
