,ExpermientName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,InstructionScreenNum,HabituationNumShockType,VAS_score,VAS_type,VAS_RT,ExperimentName,ShockType
0,,,1,1779537239.697122,33.01,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.06,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.11,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.16,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.21,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.27,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.32,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.37,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.42,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.47,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.53,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.58,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.63,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.68,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.73,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.78,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.83,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.88,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.94,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,33.99,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.04,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.09,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.14,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.19,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.24,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.29,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.35,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.4,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.45,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.5,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.55,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.6,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.65,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.7,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.76,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.81,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.86,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.91,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,34.96,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.01,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.06,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.11,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.17,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.22,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.27,Instructions,,,,,,,,,,12,,,,,Fort,Sound
