,Time,ExpermientName,Subject,StartTime,CurrentTime,Section,Session,Round,Subtrial,ScenarioIndex,Reward_magnitude,Punishment_magnitude,DistanceAtStart,DistanceFromDoor_SubTrial,CurrentDistance,Distance_max,Distance_min,Distance_lock,RoundStartTime,DoorAction_RT,Door_opened,DoorStatus,Door_outcome,DidWin,Door_anticipation_time,ITI_duration,Total_coins,VASQuestionNumber,VAS_score,VAS_type,VAS_RT,Q_type,Q_score,Q_RT,ExperimentName
0,,,178,1708866013.5259142,1879.54,TaskRun1,1,1,49,58,2,1,50,62,62,62,50,0,1865.97,3421.35,0,closed,,,3465.6264033724674,1.7257245755231074,18,,,,,,,,Doors
0,,,178,1708866013.5259142,1886.29,VAS2,1,2,,,,,,,,,,,,,,,,,,,,1,1,Anxiety,6.584314823150635,,,,Doors
0,,,178,1708866013.5259142,1889.73,VAS2,1,2,,,,,,,,,,,,,,,,,,,,2,78,Avoidance,3.267413377761841,,,,Doors
0,,,178,1708866013.5259142,1893.25,VAS2,1,2,,,,,,,,,,,,,,,,,,,,3,32,Tired,3.357743501663208,,,,Doors
0,,,178,1708866013.5259142,1900.43,VAS2,1,2,,,,,,,,,,,,,,,,,,,,4,78,Mood,7.010460376739502,,,,Doors
0,,,178,1708866013.5259142,1917.73,TaskRun2,1,2,1,77,4,6,50,36,36,50,36,0,1904.99,2723.6,0,closed,,,3715.836138020523,1.4473680226472858,18,,,,,,,,Doors
0,,,178,1708866013.5259142,1931.92,TaskRun2,1,2,2,60,2,3,50,36,36,50,36,0,1918.14,2687.86,0,closed,,,3998.3515505393457,2.183250540467424,18,,,,,,,,Doors
0,,,178,1708866013.5259142,1945.85,TaskRun2,1,2,3,82,5,4,50,62,62,62,50,0,1932.52,2377.15,0,closed,,,3675.669031677796,2.3135552234435712,18,,,,,,,,Doors
0,,,178,1708866013.5259142,1961.16,TaskRun2,1,2,4,95,7,3,50,91,91,91,50,0,1946.44,4383.01,1,opened,punishment,0,3721.6544849755874,1.0129731161612425,15,,,,,,,,Doors
0,,,178,1708866013.5259142,1975.09,TaskRun2,1,2,5,73,4,2,50,64,64,64,50,0,1961.54,3224.89,0,closed,,,3178.244237406795,2.268175610912478,15,,,,,,,,Doors
0,,,178,1708866013.5259142,1988.63,TaskRun2,1,2,6,88,6,3,50,74,74,74,50,0,1975.65,2541.56,1,opened,punishment,0,3408.002503954064,1.4147226897426202,12,,,,,,,,Doors
0,,,178,1708866013.5259142,2003.69,TaskRun2,1,2,7,57,1,7,50,0,0,50,0,0,1989.06,3737.83,0,closed,,,3915.7908549912995,2.0983449212414467,12,,,,,,,,Doors
0,,,178,1708866013.5259142,2017.88,TaskRun2,1,2,8,89,6,4,50,64,64,64,50,0,2004.25,2428.01,1,opened,punishment,0,3754.149913809172,1.7622591309706734,8,,,,,,,,Doors
0,,,178,1708866013.5259142,2029.68,TaskRun2,1,2,9,91,6,6,50,50,50,50,50,0,2018.55,1299.61,0,closed,,,3435.7908733206045,1.4515293973812753,8,,,,,,,,Doors
0,,,178,1708866013.5259142,2042.1,TaskRun2,1,2,10,61,2,4,50,33,33,50,33,0,2030.11,2543.74,0,closed,,,3570.671597577277,1.0197950364401671,8,,,,,,,,Doors
0,,,178,1708866013.5259142,2056.77,TaskRun2,1,2,11,99,7,7,50,50,50,50,50,0,2042.54,2827.0,1,opened,punishment,0,3171.3283716085907,2.4754470228724665,1,,,,,,,,Doors
0,,,178,1708866013.5259142,2068.35,TaskRun2,1,2,12,75,4,4,50,50,50,50,50,0,2057.34,860.87,1,opened,punishment,0,3636.1572109982185,1.0143862209446426,-3,,,,,,,,Doors
0,,,178,1708866013.5259142,2082.74,TaskRun2,1,2,13,92,6,7,50,34,34,50,34,0,2068.74,2160.18,1,opened,punishment,0,3721.6211055306176,2.372554352500163,-10,,,,,,,,Doors
0,,,178,1708866013.5259142,2096.41,TaskRun2,1,2,14,70,3,6,50,0,0,50,0,0,2083.32,3549.4,0,closed,,,3355.2804452186033,1.2373316015888236,-10,,,,,,,,Doors
0,,,178,1708866013.5259142,2112.97,TaskRun2,1,2,15,78,4,7,50,10,10,50,10,0,2096.98,4087.15,1,opened,reward,1,3692.6038850279083,2.487606953066386,-6,,,,,,,,Doors
0,,,178,1708866013.5259142,2126.14,TaskRun2,1,2,16,63,2,6,50,2,2,50,2,0,2113.54,2832.67,0,closed,,,3702.53039006853,1.1874567006683288,-6,,,,,,,,Doors
0,,,178,1708866013.5259142,2140.4,TaskRun2,1,2,17,66,3,2,50,64,64,64,50,0,2126.61,2833.95,1,opened,punishment,0,3751.5515220521033,1.5067939306127573,-8,,,,,,,,Doors
0,,,178,1708866013.5259142,2153.77,TaskRun2,1,2,18,98,7,6,50,64,64,64,50,0,2140.97,2716.02,1,opened,punishment,0,3125.9142606177797,1.3679257158948097,-14,,,,,,,,Doors
0,,,178,1708866013.5259142,2168.11,TaskRun2,1,2,19,58,2,1,50,62,62,66,50,0,2154.16,3208.5,1,opened,punishment,0,3724.0763713372203,1.3673029643043304,-15,,,,,,,,Doors
0,,,178,1708866013.5259142,2182.99,TaskRun2,1,2,20,81,5,3,50,64,64,64,50,0,2168.49,2931.59,1,opened,punishment,0,3370.1850608226932,2.4836451052612736,-18,,,,,,,,Doors
0,,,178,1708866013.5259142,2194.09,TaskRun2,1,2,21,67,3,3,50,50,50,50,50,0,2183.51,849.18,0,closed,,,3050.898415325437,1.8133044973596408,-18,,,,,,,,Doors
0,,,178,1708866013.5259142,2209.56,TaskRun2,1,2,22,93,7,1,50,100,100,100,50,0,2194.64,3275.21,1,opened,reward,1,3727.5002676577756,2.3054078577395334,-11,,,,,,,,Doors
0,,,178,1708866013.5259142,2222.18,TaskRun2,1,2,23,87,6,2,50,68,68,68,50,0,2210.13,2588.97,0,closed,,,3190.9645080789383,1.3275456044676495,-11,,,,,,,,Doors
0,,,178,1708866013.5259142,2235.92,TaskRun2,1,2,24,85,5,7,50,29,29,50,29,0,2222.64,2360.02,1,opened,punishment,0,3762.6976393589475,1.5270287741671176,-18,,,,,,,,Doors
0,,,178,1708866013.5259142,2250.6,TaskRun2,1,2,25,65,3,1,50,65,65,65,50,0,2236.33,2314.78,1,opened,reward,1,3975.0229989270283,2.2848840956840535,-15,,,,,,,,Doors
0,,,178,1708866013.5259142,2265.58,TaskRun2,1,2,26,94,7,2,50,96,96,100,50,0,2251.18,4063.21,1,opened,reward,1,3490.06304789684,1.263326892091515,-8,,,,,,,,Doors
0,,,178,1708866013.5259142,2279.28,TaskRun2,1,2,27,55,1,5,50,12,12,50,12,0,2266.04,3206.11,0,closed,,,3155.433665256002,2.0100108320081276,-8,,,,,,,,Doors
0,,,178,1708866013.5259142,2292.64,TaskRun2,1,2,28,69,3,5,50,25,25,50,25,0,2279.87,2616.68,0,closed,,,3659.7075201729776,1.633630805390046,-8,,,,,,,,Doors
0,,,178,1708866013.5259142,2307.17,TaskRun2,1,2,29,76,4,5,50,30,30,50,30,0,2293.14,3562.05,0,closed,,,3693.858391390086,1.8752890461016753,-8,,,,,,,,Doors
0,,,178,1708866013.5259142,2319.76,TaskRun2,1,2,30,52,1,2,50,33,33,50,33,0,2307.73,2892.0,0,closed,,,3164.456309985528,1.0627847549733311,-8,,,,,,,,Doors
0,,,178,1708866013.5259142,2332.33,TaskRun2,1,2,31,59,2,2,50,50,50,50,50,0,2320.19,835.46,1,opened,reward,1,3911.766803379503,1.7010024269968582,-6,,,,,,,,Doors
0,,,178,1708866013.5259142,2345.67,TaskRun2,1,2,32,74,4,3,50,58,58,58,50,0,2332.99,2437.46,0,closed,,,3982.3399784240023,1.3244632399568739,-6,,,,,,,,Doors
0,,,178,1708866013.5259142,2360.81,TaskRun2,1,2,33,79,5,1,50,88,88,88,50,0,2346.11,3833.89,1,opened,reward,1,3477.3166875066668,1.620118897481378,-1,,,,,,,,Doors
