Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
132	 1	3.3252	0.0111	0.0006	0.0899	0.0803	13.5106	 0	   NaN	0.0000	13.5451	0.0061	 21	"21"
133	 0	   NaN	0.0000	0.0005	0.0784	0.0448	13.4635	 0	   NaN	0.0000	13.4895	0.0011	 22	"22"
134	 0	   NaN	0.0000	0.0002	0.0325	0.0377	13.4057	 0	   NaN	0.0000	13.4186	0.0016	 23	"23"
135	 0	   NaN	0.0000	0.0000	0.0078	0.0419	13.3454	 0	   NaN	0.0000	13.3493	0.0022	 24	"24"
136	 0	   NaN	0.0000	0.0003	0.0530	0.0733	13.2925	 0	   NaN	0.0000	13.2997	0.0079	 25	"25"
137	 0	   NaN	0.0000	0.0003	0.0407	0.0604	13.0270	 0	   NaN	0.0000	13.0337	0.0051	 26	"26"
138	 0	   NaN	0.0000	0.0006	0.0958	0.0679	12.9531	 0	   NaN	0.0000	12.9684	0.0098	 80	"80"
139	 0	   NaN	0.0000	0.0002	0.0308	0.0778	12.9070	 0	   NaN	0.0000	12.9170	0.0062	 81	"81"
140	 0	   NaN	0.0000	0.0005	0.0721	0.0582	12.8601	 0	   NaN	0.0000	12.8734	0.0039	 82	"82"
141	 0	   NaN	0.0000	0.0002	0.0300	0.0742	12.8062	 0	   NaN	0.0000	12.8189	0.0065	 83	"83"
142	 3	1.1287	0.1115	0.0026	0.4176	0.2212	12.7289	 0	   NaN	0.0000	12.7690	0.0048	 84	"84"
143	 5	0.1877	0.5760	0.0102	1.6256	0.5339	12.4978	 0	   NaN	0.0000	12.7416	0.0059	 85	"85"
144	 4	1.2597	0.1992	0.0045	0.7257	0.3536	21.9834	 1	1.1347	0.0265	22.0855	0.0538	 86	"86"
145	 1	3.5362	0.0151	0.0005	0.0862	0.0938	20.7815	 0	   NaN	0.0000	20.7912	0.0000	 60	"60"
146	 5	0.2022	0.1367	0.0026	0.4131	0.1677	20.1624	 0	   NaN	0.0000	20.2345	0.0000	 61	"61"
147	 6	0.1447	0.1689	0.0033	0.5285	0.2317	19.6941	 0	   NaN	0.0000	19.8168	0.0031	 62	"62"
148	 2	0.4292	0.0320	0.0010	0.1552	0.0951	19.3554	 0	   NaN	0.0000	19.4324	0.0000	 63	"63"
149	 1	2.7452	0.0127	0.0005	0.0742	0.1092	19.0431	 0	   NaN	0.0000	19.0549	0.0001	 64	"64"
150	 4	0.1762	0.0682	0.0016	0.2573	0.1130	18.6294	 0	   NaN	0.0000	18.6878	0.0011	 65	"65"
151	 1	3.3682	0.6662	0.0186	2.9775	1.6561	17.7595	 1	1.5182	1.5355	17.9610	0.7199	 66	"66"
152	 5	0.3247	0.3497	0.0077	1.2252	0.6487	18.4982	 0	   NaN	0.0000	19.2667	0.0040	 20	"20"
153	 0	   NaN	0.0000	0.0004	0.0569	0.0786	18.9037	 0	   NaN	0.0000	19.0160	0.0034	 21	"21"
154	 0	   NaN	0.0000	0.0001	0.0141	0.0417	18.7608	 0	   NaN	0.0000	18.7683	0.0009	 22	"22"
155	 1	3.9082	0.0120	0.0008	0.1283	0.0856	18.5504	 0	   NaN	0.0000	18.5751	0.0039	 23	"23"
156	 1	0.5068	0.0353	0.0013	0.2093	0.1782	18.3824	 0	   NaN	0.0000	18.4608	0.0043	 24	"24"
157	 1	1.2633	0.0131	0.0010	0.1530	0.1006	18.2279	 0	   NaN	0.0000	18.2711	0.0035	 25	"25"
