,Time,ExpermientName,Subject,StartTime,CurrentTime,Section,Session,Round,Subtrial,ScenarioIndex,Reward_magnitude,Punishment_magnitude,DistanceAtStart,DistanceFromDoor_SubTrial,CurrentDistance,Distance_max,Distance_min,Distance_lock,RoundStartTime,DoorAction_RT,Door_opened,DoorStatus,Door_outcome,DidWin,Door_anticipation_time,ITI_duration,Total_coins,VASQuestionNumber,VAS_score,VAS_type,VAS_RT,Q_type,Q_score,Q_RT,ExperimentName
0,,,,1712674253.49323,4.14,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.16,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.17,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.18,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.19,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.21,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.22,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.23,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.24,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.26,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.27,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.28,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.29,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.31,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.32,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.33,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.34,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.36,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.37,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.38,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.39,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.41,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.42,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.43,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.44,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
